"Covariate","Level","Se_Mean","Se_Lo","Se_Hi","Se_Sig","Se_Pval","Sp_Mean","Sp_Lo","Sp_Hi","Sp_Sig","Sp_Pval"
"study","prospective vs retrospective",-0.00591917876415041,-0.554690102714408,0.481010872949685,FALSE,0.9805,0.225341746943809,-0.397265559014666,0.842088699293793,FALSE,0.484
"study_design","cohort vs cross-sectional",-0.225884811092523,-0.861664669548436,0.395951827752893,FALSE,0.4695,-0.378675261128051,-1.14220289638997,0.390937801567339,FALSE,0.3515
"study_design","RCT vs cross-sectional",0.0272047730580196,-1.81980440223442,1.84076419161921,FALSE,0.9775,0.932077996982078,-1.16780392353424,3.03002283775555,FALSE,0.375
"multicenter","no vs yes",0.00963272292973888,-0.64379625479342,0.602727221097892,FALSE,0.955,-0.193314900774546,-0.921490257380144,0.529164997121625,FALSE,0.603
"economic","high vs middle",0.00379805283516313,-0.453099236383875,0.486723648574018,FALSE,0.989,-0.173804304058606,-0.852554678774624,0.520759831068689,FALSE,0.5935
"economic","mixed vs middle",-2.27083220495317,-3.49445104095793,-1.00925898234303,TRUE,0.002,0.290375357213503,-1.54205551758518,2.17973935417927,FALSE,0.78
"healthcare","mixed vs primary",0.562434156751878,0.0865501192712102,1.0501730228681,TRUE,0.0185,-0.826352442222186,-1.41063464957434,-0.237783094289894,TRUE,0.004
"healthcare","public dataset vs primary",0.180973713528677,-1.64428114022167,1.9961172226306,FALSE,0.844,-0.982745764684459,-3.10963399315199,1.1554353699495,FALSE,0.3355
"healthcare","tertiary vs primary",0.124812214395296,-0.478016730014435,0.744568436370117,FALSE,0.7115,-0.660450925178079,-1.44549755449202,0.0737671068823992,FALSE,0.0825
"external","no vs yes",0.168606930582121,-0.338069739910764,0.673160611186278,FALSE,0.516,-0.0388077756304195,-0.639546181405501,0.609094917288291,FALSE,0.8625
"dr","any dr vs rdr",-0.187956927646992,-0.707137549294461,0.380196052315893,FALSE,0.4955,-0.66265901144187,-1.2349602385936,-0.0246003523405832,TRUE,0.0395
"dr","vtdr vs rdr",0.30913990501448,-0.296988501827949,0.938645698216929,FALSE,0.3265,0.508320440978719,-0.227641185821028,1.21355782292446,FALSE,0.16
"othereyetarget","no vs yes",0.0542512446728253,-0.592985870530592,0.654091523081783,FALSE,0.8345,-0.556536488522404,-1.24221175520584,0.142815339358931,FALSE,0.115
"pupil","mydriatic vs mixed",0.301617071311154,-0.831675580733,1.41229496225398,FALSE,0.595,-0.394806430718362,-1.83000951774345,1.11024138849493,FALSE,0.568
"pupil","non-mydriatic vs mixed",-0.0537290713495055,-0.45499866413774,0.347992710575339,FALSE,0.8125,1.53379487904428,0.993815245368172,2.07589865603058,TRUE,0
"pupil","NR vs mixed",-0.14831707730176,-0.993153910023373,0.689251452570811,FALSE,0.7315,0.865133528778045,-0.125975144005226,1.89641162839494,FALSE,0.086
"ctype","mixed vs desktop",-0.0793876329483909,-1.14217687111301,0.926407966813931,FALSE,0.8705,0.353705076835498,-0.791893774367301,1.58554747878079,FALSE,0.5485
"ctype","portable vs desktop",0.0692135799189687,-0.317481517877088,0.445846891213401,FALSE,0.7215,-0.451889373926231,-0.938703221754091,0.0306543205047894,FALSE,0.068
"ctype","smartphone vs desktop",0.0120620208030692,-1.82401752302861,1.82338418022317,FALSE,0.9805,-2.30595132381096,-4.34155359762986,-0.22438919967401,TRUE,0.03
"camera","NR vs multiple",0.159523323170003,-0.555659547161538,0.823335638162753,FALSE,0.6415,-0.039086661642629,-0.947897575297782,0.862597585874969,FALSE,0.9425
"camera","single vs multiple",0.476209420215121,0.0363483447323115,0.930321828894382,TRUE,0.0335,2.55033815243576,1.8690500136587,3.22795751334402,TRUE,0
"criteria","etdrs vs icdr",0.0737736583654317,-1.71307626031431,1.86903647133103,FALSE,0.9565,-1.81892257140244,-4.69533128633246,1.13719220822859,FALSE,0.217
"criteria","other vs icdr",0.393056176978223,-0.13671739482725,0.915890008936374,FALSE,0.121,2.74992280672459,2.06408672729953,3.41842832055782,TRUE,0
